Trdmnt,YYYYMM,Year,Month,MKT,SMB,VMG,SV,SM,SG,BV,BM,BG,MarketReturn,NumStocks
2011-08-01,201108,2011,8,-0.045743526133138326,0.017856195050662205,-0.007320355832315065,-0.03839680233025365,-0.010194135070712602,-0.0342724406349133,-0.06403172280928791,-0.018884867538580118,-0.05351537283999813,-0.04407685946647166,1351
2011-09-01,201109,2011,9,-0.09495266952940558,-0.022553740928204197,0.02189481281797473,-0.11853095001635279,-0.1236805161450091,-0.1163740096054297,-0.06488553446077408,-0.11520661801375832,-0.11083210050764665,-0.09328600286273891,1368
2011-10-01,201110,2011,10,0.035151385273143376,0.008454059000207848,-0.013786722966838319,0.0389011712732566,0.06406001847695078,0.039506748490479505,0.02669319124870772,0.036751510026194166,0.05366105996516145,0.03681805193981004,1383
2011-11-01,201111,2011,11,-0.04653841951229242,0.00747861258575766,-0.016601757258683174,-0.04071922492734162,-0.020522698883794675,-0.03913776348271493,-0.06746945303210711,-0.01949867205964965,-0.03584739995936745,-0.04487175284562576,1390
2011-12-01,201112,2011,12,-0.08583180788080653,-0.06763500407156336,0.05539583897349831,-0.14727813940591636,-0.14448842102229814,-0.1776550627933341,-0.03525315051596194,-0.11559555541535575,-0.11566790507554078,-0.08416514121413987,1400
2012-01-01,201201,2012,1,0.025125607134161083,-0.03007362010116908,0.015736776297376718,0.002117042722861822,-0.033647443289813506,0.00558541735958619,0.05534524037215094,-0.011472676416682336,0.02040331314067314,0.02679227380082775,1410
2012-02-01,201202,2012,2,0.08802450479981402,0.04191478260916463,-0.03470175509401931,0.1266555714603491,0.13829214337510287,0.14351150401536433,0.057934486164787025,0.11429832106072492,0.11048206379781042,0.08969117146648069,1421
2012-03-01,201203,2012,3,-0.07140138634713987,0.004270610886638798,0.016005117790734297,-0.06490319308683594,-0.058578702327502695,-0.08060476640850728,-0.06852204503220227,-0.06354574215856049,-0.08483070729199954,-0.0697347196804732,1428
2012-04-01,201204,2012,4,0.060923613407624685,0.016823356734371145,-0.008480017279263313,0.06575442055179169,0.08774028487779365,0.07931739749466069,0.0574440506419097,0.06405687382165556,0.06084110825756733,0.06259028007429135,1432
2012-05-01,201205,2012,5,0.014337526898296583,0.009452903138872492,-0.01817969112966039,0.020208052617695,0.04360024984579654,0.02583141817006452,-0.007301936926214261,0.04514886836241582,0.023434079780737006,0.01600419356496325,1452
2012-06-01,201206,2012,6,-0.05325261191170351,-0.010386921741963984,0.014291658828135323,-0.06313171920724678,-0.02902352680353012,-0.08716884234315642,-0.06380305887755101,-0.016011010852578313,-0.06834925339791205,-0.051585945245036846,1464
